Basque (eu),Spanish (es),es_traduction
Zer esan nahi duzu: idazkaria-edo behar duzula?,¿Quieres que sea tu secretaria o algo así?,¿Qué quieres decir: necesitas a un secretario u otra cosa?
Nire idazkaria hangoa da eta egunero hartzen du hango egunkaria.,Mi secretaria es de San Francisco y le llega el periódico de allá.,Mi secretaria es de allí y toma el periódico de allí todos los días.
"Idazkaria George izatea nahi dute, bere aitaren postua.","Quieren a George como secretario ejecutivo, el lugar de su padre.","Quieren que George sea el escritor, el puesto de su padre."
"Idazkaria izanda, nahi duzun edonor kontratatu dezakezu.","Como Secretario, puedes contratar a quien quieras.","Siendo director, puedes contratar a cualquier persona que desees."
Konfiantzazko idazkaria nintzela esan diot baina ez dut uste berari handiegia eman diodanik.,"A mí no me dirá nada, le dije que era tu secretaria de confianza, pero creo que a él no le inspiré demasiada.","El lector confiable soy, pero no creo haberle dado demasiado crédito."
Ez zuen nirekin hitz egin. Ez nengoen bulegoan eta nire idazkariari ez zion esan.,"No habló conmigo, no estaba en la oficina,",No habló conmigo. No estaba en la oficina y no se lo dije a mi secretaria.
Haren idazkariak deitu zidan.,Me llamó su secretaria.,Su escritor me llamó.
Diktatu diezaioket zerbait zure idazkariari?,¿Puedo dictar un telegrama a su secretaria?,¿Le puedo dictar algo a su secretario?
"Bere idazkaria, nonbait.","Su secretaria, al parecer...","Su secretaria, por cierto."
Nire idazkaria bazkaltzera joango zen.,Mi secretaria habrá ido a almorzar.,Mi secretaria irá a almorzar.
"-Vallières jauna, nire idazkaria.","- El Sr. Vallieres, mi secretario.","Señor Vallières, mi secretario."
"Nire idazkaria. Eta hau Vicky Rosenthal da, zure gidaria.","Mi secretario y esta es Vicky Rosenthal, que será su guía.","Mi secretaria. Y esta es Vicky Rosenthal, tu guía."
Espetxeko nagusiak etxe berria du orain... eta ni bere idazkaria bilakatu naiz.,Basta decir que el alcaide tiene una nueva casa... y yo me he convertido en su secretario en jefe.,El jefe de la prisión ahora tiene una nueva casa... y yo me he convertido en su secretario.
Idazkariak esan dit hemen zeundela.,Su secretario me dijo que estaba aquí.,Escritores me han dicho que estabas aquí.
Goizero esnatzen ditut nire gizonezko idazkariak.,"Cada mañana, despierto a mis secretarios.",Mis secretarios masculinos se levantan por la mañana.
Esan zure idazkariari...,Dele a su secretaria,... que tu secretario... (Esta frase es incompleta y no se puede traducir completamente al español sin saber qué sigue. ¿Podrías proporcionar el resto de la frase?)
Barne Idazkaria hemen daukagu eta horrek ondo informatuta eduki nahi izaten du jendea.,Está aquí el Secretario del Interior y le gusta que el público esté bien informado.,El Secretario de Prensa está aquí y eso quiere decir que la gente debe estar bien informada.
Esango diot nire idazkariari bidaltzeko paperak.,Mi secretaria preparará los documentos.,Diré a mi secretaria que envíe los documentos.
"-Hau nire idazkaria da, Susie.","Es mi secretaria, Susie.","Esto es mi secretaria, Susie."
Gizon xelebre hori idazkaria da.,El tipo excéntrico que ven es el secretario.,Ese hombre peculiar es el secretario.
"Gauza horietarako, hitz egizu nire idazkariarekin. Ondo da. Gero arte ba.","Para estas cosas, diríjase a mi secretario.","Para esas cosas, habla con mi secretaria. Está bien. Hasta luego."
Eta Jack Benny altxor-idazkaria.,Y Jack Benny es el ministro de Hacienda.,Y Jack Benny es un escritor de tesoros.
Epaitegiko idazkaria.,Asistente judicial.,El secretario judicial.
Idazkariak pasatzeko esan dit.,Su secretaria dijo que podía entrar.,Los escritores pasaron.
"Idazkaria, artxibategiko neska...","La secretaria, la del archivo...","Archivera, chica de los archivos..."
Gaur da artxibategiko idazkariaren eszena garrantzitsu hori.,Claro.,Erreur
"Nire idazkaria gripeak jota dago, eta bere ordezkoak ez bide daki zer egin.",Mi secretaria cogió gripe y la temporal parece no saber lo que está haciendo.,Erreur
Nire idazkariak kopia bat bidaliko dizu.,"Sí, està bien, haré que mi asistente le envíe una copia, entonces.",Erreur
Deitu nire idazkariari datorren hilabete hasieran.,Llame a mi secretaria... a principios del mes próximo.,Erreur
"Nire idazkariari deitu, bazkaltzeko hitzordu bat antolatu dezala.","Llama a mi secretaria, que nos arregle un almuerzo.",Erreur
"Jende guztiari gustatzen zaio kontatzea, bere idazkariarekin sexu harremanak zituela.",A todos les encanta contar que se tiraba a su secretaria.,Erreur
Burua atximurkatzen duzun ipurdian duen idazkaria naizela uste al duzu?,"¿Por una secretaria con cerebro en el trasero, a quien pellizca?",Erreur
"Hona Robert McNamara, Estatu Batuetako defentsa-idazkaria. Bere departamentuak hartzen du herri honetako irabazien %10 eta zergetako dolar bakoitzaren erdia baino gehiago.","Ahí está Ty Mitchell, que interpreta al hijo de Adrienne.",Erreur
"24 orduz egunean, urteko 365 egunetan defentsa-idazkaria izan nintzen 7 urteetan gerra hotza bizi nuen.",En la siguiente secuencia cortamos al faro. Ahí está.,Erreur
"Nik ez nuen ezagutzen. Esan zidan: ""Jack Kennedy, nire koinatuaren partetik altxor-idazkariaren postua eskaintzen dizut"".","Ésas son las escaleras de ""20.000 leguas de viaje submarino""",Erreur
Baina lehendakaria eta defentsa-idazkaria hor ari dira jo eta ke jendea engainatzen. Eta aski da behingoz!,Al volver a ver la película ahora se ve cuánto se estructuró en la sala de montaje.,Erreur
"Robert McNamara, defentsa-idazkariak hara egin dituen 7 ikuskatze-bidaietan alderdi positibo bat aurkitzen dio gerraren bilakaerari.",Y ahora llama a la puerta.,Erreur
"Idazkaria nintzenean, ""Agente Laranja"" erabili genuen Vietnamen.","Manda al pequeño Ty a su cuarto, ¿no?",Erreur
"24 orduz egunean, urteko 365 egunetan defentsa-idazkaria izan nintzen 7 urteetan gerra hotza bizi nuen.",Tengo que tener mucho cuidado. - ¿Puedo preguntarte algo? - Claro.,Erreur
"Esan zidan: ""Jack Kennedy, nire koinatuaren partetik altxor-idazkariaren postua eskaintzen dizut"".","KAB, Antonio Bay.",Erreur
"Hori ez da beharrezkoa. Führerra ez baita ari soldadu bila gaur, idazkaria aurkitu nahi du.",Eso no será necesario dado que el Führer no está buscando un soldado sino una secretaria.,Erreur
Energia Idazkaria.,Soy el Secretario de Energía.,Erreur
"Ni Estatu Idazkaria naiz, Carl's Jr.en laguntzaz.","Yo soy el Secretario de Estado, por cortesía de Carl's Jr.",Erreur
