Basque (eu),Spanish (es),es_traduction
Nire erizainek beti beso artean hartzen naute.,Mis enfermeras siempre ponen sus brazos a mi alrededor.,Mis ovejas siempre me abrazan entre sus brazos.
Zuzendari izateari utzi diot. Orain... erizaina naiz!,"Yo ya no soy un director, soy un enfermo.",Dejo de ser director. ¡Ahora... soy un erizo!
"Van Hopper andrearen katarroa gripe bihurtu da, beraz erizaina hartu du.","El resfrío de la Sra. Van Hopper resultó ser gripe, y vino una enfermera.","El resfriado de la señora Van Hopper se ha convertido en gripe, por lo que ha tenido que tomar antibióticos."
Erizain gaixoa.,Lo lamento por la enfermera.,La enfermera está enferma.
Erizaina gaur bidali behar dut:,Hoy voy a echar a la enfermera.,Enviaré al técnico hoy.
- Erizaina?,- ¿Enfermera?,"- ¿Erizaina? 

La frase en euskera ""Erizaina?"" se traduce al español como ""¿Erizaina?""."
Harbin du izena... -eta Ospitale Nagusiko erizaina da.,"Se llama Harbin, un enfermero del Hospital General.",Harbin tiene por nombre... -y es enfermera en el Gran Hospital.
Ospitale Nagusiko erizaina.,Enfermero del Hospital General.,El enfermero del gran hospital.
"Hurrengo gerran, Gurutze Gorriko erizaina izan nahi dut.","En la próxima guerra, quiero ser enfermera de la Cruz Roja.","En la próxima guerra, quiero ser una enfermera de la Cruz Roja."
"Patioa estudiatu nuen, paretak, eta erizaindegia.","Podía ver el patio, los muros.","He estudiado el patio, las paredes y la enfermería."
"Erizaina, hitz egin dezaket doktorearekin?","Enfermera, ¿podría ver al doctor un momento?",¿Puedo hablar con el doctor?
"Benetako erizaina herrira etorri zenean, zalaparta handia zegoen.","Cuando la enfermera verdadera volvió al pueblo, había un desorden.","Cuando el verdadero zorro llegó al pueblo, hubo un gran revuelo."
- Erizaina zara?,- ¿Es usted enfermera?,¿Eres guardia?
Ez dut erizaintza ikasketarik.,No soy enfermera titulada.,No tengo formación en enfermería.
Eta erizaina oso lagunkoia!,¡Y la enfermera muy gentil!,Y el erizo muy amigable!
Eta Antipova erizaina?,¿Y la enfermera Antipova?,¿Y la erizuela de Antipova?
"Lasaitzen ez bazara, erizainari deituko diot!",- ¡Cálmate o llamo al enfermero! - ¡No!,Erreur
Erizaina.,Enfermera.,Erreur
"Itxaron, erizaina.","Un momento, enfermera.",Erreur
Edo arratoia erreala da eta hemengo erizaina ametsezkoa.,Quizás la rata sea real y esta enfermera un sueño.,Erreur
"Sail honetako erizain buru naizen bitartean, kontraleihoak zabalik egongo dira.","Mientras yo sea la enfermera jefe, la ventana permanecerá abierta.",Erreur
Beste erizain bat?,¿Qué es esto? ¿Una enfermera nueva?,Erreur
"Kaixo, erizaina.",No me tiene miedo.,Erreur
"Kaixo, erizain berri gazte eta ederra.","Hola, enfermera nueva.",Erreur
"Jainkoak bedeinka zaitzala, erizaina!","Dios te bendiga, enfermera.",Erreur
"Oh, Eguberri on, erizain laztana.","Feliz Navidad, enfermera.",Erreur
"Zainduko duzu hori, erizaina?","Sí, ocúpese usted de esto.",Erreur
"Ez bazara nitaz fidatzen, erizaina, beragana jo beharko zenuke.","Si no confía en mí, puede planteárselo a él.",Erreur
"Ederto, erizaina.","Bien, como quiera, señorita.",Erreur
"Emaiozu lasaigarri arin bat, erizaina.","Dele un calmante, enfermera.",Erreur
"Oh, erizaina-- ederra, erizain ederra-- eskerrik asko, eskerrik asko, eskerrik asko.","Enfermera preciosa. Mi preciosa enfermera. Gracias, gracias.",Erreur
Zergatik ari da erizaina bidaltzen?,¿Por qué le ha dicho que se vaya?,Erreur
