Basque (eu),Spanish (es),Spanish_Translation
"Era horretan lortzen dena, gurpila behin eta berriro asmatzen ibiltzeari saihets egitea da (horrelaxe gertatzen baita hedatuak dauden aplikazioekin: programatzaileak kreazioa zerotik hasi behar izaten du den-denetan).","De esta manera, se evita reinventar permanentemente la rueda, como ocurre con las aplicaciones al uso donde los programadores deben siempre empezar sus creaciones de cero.",Lo que se consigue de este modo es evitar el acierto constante de la rueda (así ocurre con las aplicaciones extendidas: el programador tiene que comenzar la creación de cero en todos los casos).
"Interkonexio optikoko produktuen mota ezberdinak diseinatu, fabrikatu eta hornitu ditugu, besteak beste, transceiver optikoak, osagai optiko pasiboak, optikozko kable aktiboak, MTP / MPO kableak eta hodei-programatzaileak eta zuzentzaileak, eta abar.","Diseñamos, fabricamos y suministramos varios tipos de productos de interconexión óptica, incluidos transceptores ópticos, componentes ópticos pasivos, cables ópticos activos, cableado MTP / MPO y programadores y verificadores en la nube, etc.","Se han diseñado, fabricado y suministrado diferentes tipos de productos de interconexion óptica, como transceiver ópticos, pasivos componentes ópticos, cables activos ópticos, MTP / MPO cables y programadores y correctores de nubes, etc."
"Komunikazioaren eta informazioaren teknologien sektorean programatzaileak, datu-analistak eta zibersegurtasuneko adituak falta dira, enpresen digitalizazioa profil berrien prestakuntza baino azkarragoa baita.","En el sector IT, de tecnologías de la comunicación y la información, faltan programadores, analistas de datos y expertos en ciberseguridad, ya que la digitalización de las empresas va más rápida que la formación de nuevos perfiles.","En el sector de las tecnologías de la comunicación y la información faltan programadores, analistas de datos y expertos de cibermisia, ya que la digitalización de las empresas es más rápida que la formación de nuevos perfiles."
JAVA programatzaileak Lan-eskaintza berria,Programadores y Programadoras JAVA Nueva...,Programadores de JAVA oferta de empleo
"Oso garrantzikotzat jotzen dute orain Fringen aurkeztea, publiko ororen aurrean, baina batez ere jaialdiaren inguruan urtero biltzen diren profesionalen aurrean (programatzaileak, ekoizleak, artistak, …).","Consideran muy importante poder presentar su trabajo en el Fringe, ante el público en general, pero, ante todo, ante los profesionales que cada año se reúnen en torno al festival (programadores, productores, artistas, …).","Consideran muy importante que ahora se presente en Fring, ante todo público, pero sobre todo ante profesionales que se reúnen anualmente en torno al festival (programadores, productores, artistas...)."
Kategoria:Bideojoko programatzaileak Wikipedia(e)tik,Categoría:Programas de televisión sobre videojuegos,Categoría: Programadores de videojuegos desde Wikipedia
"Interkonexio optikoko produktuen mota ezberdinak diseinatu, fabrikatu eta hornitu ditugu, besteak beste, transceiver optikoak, osagai optiko pasiboak, optikozko kable aktiboak, MTP / MPO kableak eta hodei-programatzaileak eta zuzentzaileak, eta abar.","Diseñamos, fabricamos y suministramos varios tipos de productos de interconexión óptica, incluidos transceptores ópticos, componentes ópticos pasivos, cables ópticos activos, cableado MTP / MPO y programadores y verificadores en la nube, etc. Estos productos están diseñados para tres aplicaciones Óptica...","Se han diseñado, fabricado y suministrado diferentes tipos de productos de interconexion óptica, como transceiver ópticos, pasivos componentes ópticos, cables activos ópticos, MTP / MPO cables y programadores y correctores de nubes, etc."
"Programaren komisarioa Guillermo G. Peydró, jaialdiaren programatzailea, izan da. Elkarren segidako saioetan, berriz idazte eta berriz irakurtze kritiko iraunkorraren inguruko lan zoragarriaren irudiak eta ideiak eskainiko dira. Zikloa bidaia eta itxialdiaren, trantzearen eta mugiezintasunaren arteko dialektikan kokatzen da, eta 1989. urtean duen etxearen mugetan sartuta geratuko da.",El programa que ha sido comisariado por el programador del festival Guillermo G. Peydró y ofrece a lo largo de uno de los secretos mejor guardados de Francia. El programa que ha sido comisariado por el programador del festival Guillermo G. Peydró y ofrece a lo largo de sucesivas sesiones las imágenes e ideas de su fascinante trabajo de reescritura y relectura crítica permanente.,"La comisaria del programa ha sido Guillermo G. Peydró, programador del festival, y en las sesiones sucesivas se ofrecerán imágenes e ideas de un trabajo maravilloso en torno a la lectura crítica permanente, que se ubicará en la dialéctica entre el viaje y la clausura, el trance y la inmovilidad, y se situará en los límites de su casa en 1989."
"“Zentzu honetan, – esaten du David Fernández Rementeríarekin batera enpresaren fundatzailea izandako Elen García Cangasek – Sabin Mendiguren programatzailearen ezarpena erabakigarria izan zen esparru digitalean erabat murgiltzeko orduan, baita berrikuntza teknologikoan ere, udal korporaziotara zuzendutako Udalia izendatutako softwarearen diseinuarekin eta garapenarekin”.","«En este sentido, – señala Elen García Cangas, fundadora junto con David Fernández Rementería de la empresa – la incorporación como programador de Sabin Mendiguren fue decisiva para entrar de lleno en el campo digital e, incluso, en la innovación tecnológica que representa Udalia».","En este sentido, - dice junto a David Fernández Rementería Elen García Cangas, fundador de la empresa - Sabin Mendiguren, la implantación del programador de Sabin Mendiguren, fue decisiva para su integración en el ámbito digital, así como en la innovación tecnológica con el diseño y desarrollo del software denominado Udalia, destinado a corporaciones municipales."
"Nork: Xavier Balderas (Diseinatzailea, web programatzailea)","Imparte Xavier Balderas (Diseñador, programador web)","Quién: Xavier Bearras (Diseñador, programador web)"
