Basque (eu),Spanish (es),Traduccion
Nire erizainek beti beso artean hartzen naute.,Mis enfermeras siempre ponen sus brazos a mi alrededor.,Mis enfermeras siempre me toman en brazos.
Zuzendari izateari utzi diot. Orain... erizaina naiz!,"Yo ya no soy un director, soy un enfermo.",He dejado de ser director. ¡Ahora... soy enfermero!
"Van Hopper andrearen katarroa gripe bihurtu da, beraz erizaina hartu du.","El resfrío de la Sra. Van Hopper resultó ser gripe, y vino una enfermera.","El catarro de la señora Van Hopper se ha convertido en gripe, así que ha contratado a una enfermera."
Erizain gaixoa.,Lo lamento por la enfermera.,Pobre enfermera
Erizaina gaur bidali behar dut:,Hoy voy a echar a la enfermera.,Hoy tengo que enviar a la enfermera.
- Erizaina?,- ¿Enfermera?,¿Enfermera?
Harbin du izena... -eta Ospitale Nagusiko erizaina da.,"Se llama Harbin, un enfermero del Hospital General.",Su nombre es Harbin... y es enfermero/a del Hospital General.
Ospitale Nagusiko erizaina.,Enfermero del Hospital General.,Enfermera del Hospital General.
"Hurrengo gerran, Gurutze Gorriko erizaina izan nahi dut.","En la próxima guerra, quiero ser enfermera de la Cruz Roja.","En la próxima guerra, quiero ser enfermera de la Cruz Roja."
"Patioa estudiatu nuen, paretak, eta erizaindegia.","Podía ver el patio, los muros.","Estudié el patio, las paredes y la enfermería."
"Erizaina, hitz egin dezaket doktorearekin?","Enfermera, ¿podría ver al doctor un momento?","Enfermera, ¿puedo hablar con el doctor?"
"Benetako erizaina herrira etorri zenean, zalaparta handia zegoen.","Cuando la enfermera verdadera volvió al pueblo, había un desorden.","Cuando la verdadera enfermera llegó al pueblo, había un gran alboroto."
- Erizaina zara?,- ¿Es usted enfermera?,¿Eres enfermera?
Ez dut erizaintza ikasketarik.,No soy enfermera titulada.,No tengo estudios de enfermería.
Eta erizaina oso lagunkoia!,¡Y la enfermera muy gentil!,¡Y la enfermera muy amigable!
Eta Antipova erizaina?,¿Y la enfermera Antipova?,¿Y la enfermera Antipova?
"Lasaitzen ez bazara, erizainari deituko diot!",- ¡Cálmate o llamo al enfermero! - ¡No!,"¡Si no te calmas, llamaré a la enfermera!"
Erizaina.,Enfermera.,Enfermera
"Itxaron, erizaina.","Un momento, enfermera.","Espera, enfermera."
Edo arratoia erreala da eta hemengo erizaina ametsezkoa.,Quizás la rata sea real y esta enfermera un sueño.,O el ratón es real y la enfermera de aquí es imaginaria.
"Sail honetako erizain buru naizen bitartean, kontraleihoak zabalik egongo dira.","Mientras yo sea la enfermera jefe, la ventana permanecerá abierta.","Mientras sea la enfermera jefa de este departamento, las contraventanas estarán abiertas."
Beste erizain bat?,¿Qué es esto? ¿Una enfermera nueva?,¿Otra enfermera?
"Kaixo, erizaina.",No me tiene miedo.,"Hola, enfermera."
"Kaixo, erizain berri gazte eta ederra.","Hola, enfermera nueva.","Hola, enfermera nueva, joven y hermosa."
"Jainkoak bedeinka zaitzala, erizaina!","Dios te bendiga, enfermera.","¡Que Dios te bendiga, enfermera!"
"Oh, Eguberri on, erizain laztana.","Feliz Navidad, enfermera.","Oh, Feliz Navidad, querida enfermera."
"Zainduko duzu hori, erizaina?","Sí, ocúpese usted de esto.","¿Lo cuidarás, enfermera?"
"Ez bazara nitaz fidatzen, erizaina, beragana jo beharko zenuke.","Si no confía en mí, puede planteárselo a él.","Si no confías en mí, enfermera, deberías ir a él/ella."
"Ederto, erizaina.","Bien, como quiera, señorita.","Perfecto, enfermera."
"Emaiozu lasaigarri arin bat, erizaina.","Dele un calmante, enfermera.","Dale un sedante ligero, enfermera."
"Oh, erizaina-- ederra, erizain ederra-- eskerrik asko, eskerrik asko, eskerrik asko.","Enfermera preciosa. Mi preciosa enfermera. Gracias, gracias.","Oh, enfermera — hermosa, enfermera hermosa — muchas gracias, muchas gracias, muchas gracias."
Zergatik ari da erizaina bidaltzen?,¿Por qué le ha dicho que se vaya?,¿Por qué está enviando la enfermera?
"Agur, erizaina.","Adiós, enfermera.","Adiós, enfermera."
"Bat robota, bi robota, hiru robota. Zoazte lehenbailehen erizaindegira.","Robot uno, robot dos, robot tres, dirigíos inmediatamente a la enfermería.","Un robot, dos robots, tres robots. ¡Id a la enfermería cuanto antes!"
"Baliteke, baina ikusi, Orain espekulatu dezakedan bakarra, Ratched erizaina da nire bizitzaren izatea, nire emaztearekin edo gabe giza harremanei dagokienez, iustaposizioa pertsona batetik bestera, forma, edukia.","Es posible. Pero lo único sobre lo que puedo especular es la existencia misma de mi vida con o sin mi esposa en lo que concierne a las relaciones humanas, la yuxtaposición de una persona a otra, la forma y el contenido.","Podría ser, pero mira, lo único que puedo especular ahora es que la enfermera Ratched es la esencia de mi vida, en lo que respecta a las relaciones humanas con o sin mi esposa, la yuxtaposición de una persona a otra, la forma, el contenido."
Gaixoak ezin dira sartu erizainen bulegoan.,-Señor McMurphy. Esta oficina está prohibida a los pacientes.,Los pacientes no pueden entrar en la oficina de las enfermeras.
Gaixoak ezin dira sartu erizainen bulegoan.,A los pacientes no les está permitido entrar aquí. ¿Entiende?,Los pacientes no pueden entrar en la oficina de las enfermeras.
"Ondo da, Pilbow erizaina.","Está bien, enfermera Pilbow.","Está bien, enfermero Pilbow."
"Finalei buruz ari naiz, Ratched erizaina.",Estoy hablando de la Serie Mundial.,"Estoy hablando de las finales, Enfermera Ratched."
Beharbada erakutsiko dio Ratched erizainari bere buztan handia eta hark atea irekiko dio.,"Si le muestra su ""instrumento"" a la enfermera Ratched puede ser que le abra la puerta.",Quizás le muestre a la enfermera Ratched su gran cola y ella le abrirá la puerta.
"Ratched erizaina! Ratched erizaina, begira. Begira.","¡Enfermera Ratched, mire!","¡Enfermera Ratched! ¡Enfermera Ratched, mira! ¡Mira!"
"Erizain puta hori, jauna.",Esa jodida enfermera.,"Esa enfermera puta, señor."
Ratched andrea da erizainik onenetakoa erakunde honetan.,La señorita Ratched es una de nuestras mejores enfermeras.,La señora Ratched es una de las mejores enfermeras de esta institución.
"Utzi didazu Ratched erizaina zirikatzen jakinda zenbat nuen galtzeko, eta zuk ezer esan ez.",¡Me has dejado joder a la enfermera Ratched sin avisarme cuánto estaba arriesgando!,"Me dejaste provocar a la enfermera Ratched sabiendo cuánto tenía que perder, y tú no dijiste nada."
"Erizaina, hau Cheswick jauna da.","Enfermera, este es el señor Cheswick.","Enfermera, este es el señor Cheswick."
Zer moduz Ratched erizaina?,"¿Cómo está, enfermera Ratched?","¿Cómo está, enfermera Ratched?"
"Oso ondo, Ratched erizaina.","Está bien, enfermera Ratched.","Muy bien, enfermera Ratched."
- Erizaindegira joan nahi al duzu?,¿Quieres ir a la enfermería?,¿Quieres ir a la enfermería?
Eta esaiozu hori bera gaueko erizainari.,"- Díselo a la enfermera de noche. - Sí, señor.",Y dile eso mismo a la enfermera de la noche.
- Erizaindegira eraman behar dugu.,- Tenemos que llevarle a la enfermería.,Tenemos que llevarlo a la enfermería.
"Ripley, elkartu nirekin erizaindegian.","Ripley, reúnete conmigo en la enfermería.","Ripley, reúnete conmigo en la enfermería."
"Erizainarena egin ordez, aldatu pilak irratiari.",En vez de hacer de enfermero... si quieres ser útil cambia las pilas de la radio.,"En vez de hacer de enfermera, cambia las pilas a la radio."
Erizain-sindromea da hori.,Ése es el efecto enfermeras.,Eso es el síndrome de la enfermera.
"Ospitaletan gertatzen da, erizainak pazienteez maitemintzen direnean.",Ocurre en los hospitales cuando se enamoran de sus pacientes.,"Sucede en los hospitales, cuando las enfermeras se enamoran de los pacientes."
- Erizainarekin?,- ¿La enfermera?,¿Con la enfermera/el enfermero?
5 minutu! ERIZAINA,volveré a buscarlo en cinco Minutos.,¡5 minutos! ¡ENFERMERA!
"Zernahi esaten didazula ere, gela honetan geratuko da. Erizaina naiz.",Sabes que Io que Me digas no saldrá de estas cuatro paredes.,"Diga lo que me diga, se quedará en esta habitación. Soy enfermera."
Zer erizain mota zara zu? Barkatu.,La deMandareMos.,¿Qué tipo de enfermera eres? Perdón.
Ekarri umea eta erizaina.,Quizás ellos puedan explicar esto.,Trae al niño y a la enfermera.
Zure erizaina izatea.,Ser tu enfermero.,Ser tu enfermero/a
Zure erizain eta zaindaria.,Tu enfermero y tu cuidador.,Tu enfermera y cuidadora.
Erizain on bat etorri zait bisitan.,Una enfermera muy buena me visitó.,Una buena enfermera me ha venido a visitar.
- Erizaina.,- Enfermera.,Enfermera
"Erizaina, benetan, hitz egizue sukaldekoekin.","Enfermera, en serio, será mejor que hable con esa cocina.","Enfermera, por favor, hable con los de la cocina."
"Erizainak,",Enfermeras...,"Enfermeras,"
Erizainari deituko diot.,Tenemos que llamar a la enfermera.,Llamaré a la enfermera.
"O sea: erizaina da, injekzioa jartzen ari zaio.",Ella le aplica una inyección. ¿Okey?,"O sea: es enfermera, le está poniendo una inyección."
Erizainentzako testu liburu bat bezalakoa da.,Es como un libro de texto para enfermeras.,Es como un libro de texto para enfermeras.
"Bezero bat gaisorik dugu hemen, erizaina.","Tenemos un paciente, enfermera.","Tenemos un cliente enfermo aquí, enfermera."
- milioiak egon dira jokoan hilketa eta drogetan - Erizaina!,¡Enfermera!,Millones han estado en juego en asesinatos y drogas - ¡Enfermera!
Erizainak deitu dituzte eta...,Los paramédicos acudieron a la escena...,Han llamado a las enfermeras y...
