Basque (eu),Spanish (es)
Nire erizainek beti beso artean hartzen naute.,Mis enfermeras siempre ponen sus brazos a mi alrededor.
Zuzendari izateari utzi diot. Orain... erizaina naiz!,"Yo ya no soy un director, soy un enfermo."
"Van Hopper andrearen katarroa gripe bihurtu da, beraz erizaina hartu du.","El resfrío de la Sra. Van Hopper resultó ser gripe, y vino una enfermera."
Erizain gaixoa.,Lo lamento por la enfermera.
Erizaina gaur bidali behar dut:,Hoy voy a echar a la enfermera.
- Erizaina?,- ¿Enfermera?
Harbin du izena... -eta Ospitale Nagusiko erizaina da.,"Se llama Harbin, un enfermero del Hospital General."
Ospitale Nagusiko erizaina.,Enfermero del Hospital General.
"Hurrengo gerran, Gurutze Gorriko erizaina izan nahi dut.","En la próxima guerra, quiero ser enfermera de la Cruz Roja."
"Patioa estudiatu nuen, paretak, eta erizaindegia.","Podía ver el patio, los muros."
"Erizaina, hitz egin dezaket doktorearekin?","Enfermera, ¿podría ver al doctor un momento?"
"Benetako erizaina herrira etorri zenean, zalaparta handia zegoen.","Cuando la enfermera verdadera volvió al pueblo, había un desorden."
- Erizaina zara?,- ¿Es usted enfermera?
Ez dut erizaintza ikasketarik.,No soy enfermera titulada.
Eta erizaina oso lagunkoia!,¡Y la enfermera muy gentil!
Eta Antipova erizaina?,¿Y la enfermera Antipova?
"Lasaitzen ez bazara, erizainari deituko diot!",- ¡Cálmate o llamo al enfermero! - ¡No!
Erizaina.,Enfermera.
"Itxaron, erizaina.","Un momento, enfermera."
Edo arratoia erreala da eta hemengo erizaina ametsezkoa.,Quizás la rata sea real y esta enfermera un sueño.
"Sail honetako erizain buru naizen bitartean, kontraleihoak zabalik egongo dira.","Mientras yo sea la enfermera jefe, la ventana permanecerá abierta."
Beste erizain bat?,¿Qué es esto? ¿Una enfermera nueva?
"Kaixo, erizaina.",No me tiene miedo.
"Kaixo, erizain berri gazte eta ederra.","Hola, enfermera nueva."
"Jainkoak bedeinka zaitzala, erizaina!","Dios te bendiga, enfermera."
"Oh, Eguberri on, erizain laztana.","Feliz Navidad, enfermera."
"Zainduko duzu hori, erizaina?","Sí, ocúpese usted de esto."
"Ez bazara nitaz fidatzen, erizaina, beragana jo beharko zenuke.","Si no confía en mí, puede planteárselo a él."
"Ederto, erizaina.","Bien, como quiera, señorita."
"Emaiozu lasaigarri arin bat, erizaina.","Dele un calmante, enfermera."
"Oh, erizaina-- ederra, erizain ederra-- eskerrik asko, eskerrik asko, eskerrik asko.","Enfermera preciosa. Mi preciosa enfermera. Gracias, gracias."
Zergatik ari da erizaina bidaltzen?,¿Por qué le ha dicho que se vaya?
"Agur, erizaina.","Adiós, enfermera."
"Bat robota, bi robota, hiru robota. Zoazte lehenbailehen erizaindegira.","Robot uno, robot dos, robot tres, dirigíos inmediatamente a la enfermería."
"Baliteke, baina ikusi, Orain espekulatu dezakedan bakarra, Ratched erizaina da nire bizitzaren izatea, nire emaztearekin edo gabe giza harremanei dagokienez, iustaposizioa pertsona batetik bestera, forma, edukia.","Es posible. Pero lo único sobre lo que puedo especular es la existencia misma de mi vida con o sin mi esposa en lo que concierne a las relaciones humanas, la yuxtaposición de una persona a otra, la forma y el contenido."
Gaixoak ezin dira sartu erizainen bulegoan.,-Señor McMurphy. Esta oficina está prohibida a los pacientes.
Gaixoak ezin dira sartu erizainen bulegoan.,A los pacientes no les está permitido entrar aquí. ¿Entiende?
"Ondo da, Pilbow erizaina.","Está bien, enfermera Pilbow."
"Finalei buruz ari naiz, Ratched erizaina.",Estoy hablando de la Serie Mundial.
Beharbada erakutsiko dio Ratched erizainari bere buztan handia eta hark atea irekiko dio.,"Si le muestra su ""instrumento"" a la enfermera Ratched puede ser que le abra la puerta."
"Ratched erizaina! Ratched erizaina, begira. Begira.","¡Enfermera Ratched, mire!"
"Erizain puta hori, jauna.",Esa jodida enfermera.
Ratched andrea da erizainik onenetakoa erakunde honetan.,La señorita Ratched es una de nuestras mejores enfermeras.
"Utzi didazu Ratched erizaina zirikatzen jakinda zenbat nuen galtzeko, eta zuk ezer esan ez.",¡Me has dejado joder a la enfermera Ratched sin avisarme cuánto estaba arriesgando!
"Erizaina, hau Cheswick jauna da.","Enfermera, este es el señor Cheswick."
Zer moduz Ratched erizaina?,"¿Cómo está, enfermera Ratched?"
"Oso ondo, Ratched erizaina.","Está bien, enfermera Ratched."
- Erizaindegira joan nahi al duzu?,¿Quieres ir a la enfermería?
Eta esaiozu hori bera gaueko erizainari.,"- Díselo a la enfermera de noche. - Sí, señor."
- Erizaindegira eraman behar dugu.,- Tenemos que llevarle a la enfermería.
"Ripley, elkartu nirekin erizaindegian.","Ripley, reúnete conmigo en la enfermería."
"Erizainarena egin ordez, aldatu pilak irratiari.",En vez de hacer de enfermero... si quieres ser útil cambia las pilas de la radio.
Erizain-sindromea da hori.,Ése es el efecto enfermeras.
"Ospitaletan gertatzen da, erizainak pazienteez maitemintzen direnean.",Ocurre en los hospitales cuando se enamoran de sus pacientes.
- Erizainarekin?,- ¿La enfermera?
5 minutu! ERIZAINA,volveré a buscarlo en cinco Minutos.
"Zernahi esaten didazula ere, gela honetan geratuko da. Erizaina naiz.",Sabes que Io que Me digas no saldrá de estas cuatro paredes.
Zer erizain mota zara zu? Barkatu.,La deMandareMos.
Ekarri umea eta erizaina.,Quizás ellos puedan explicar esto.
Zure erizaina izatea.,Ser tu enfermero.
Zure erizain eta zaindaria.,Tu enfermero y tu cuidador.
Erizain on bat etorri zait bisitan.,Una enfermera muy buena me visitó.
- Erizaina.,- Enfermera.
"Erizaina, benetan, hitz egizue sukaldekoekin.","Enfermera, en serio, será mejor que hable con esa cocina."
"Erizainak,",Enfermeras...
Erizainari deituko diot.,Tenemos que llamar a la enfermera.
"O sea: erizaina da, injekzioa jartzen ari zaio.",Ella le aplica una inyección. ¿Okey?
Erizainentzako testu liburu bat bezalakoa da.,Es como un libro de texto para enfermeras.
"Bezero bat gaisorik dugu hemen, erizaina.","Tenemos un paciente, enfermera."
- milioiak egon dira jokoan hilketa eta drogetan - Erizaina!,¡Enfermera!
Erizainak deitu dituzte eta...,Los paramédicos acudieron a la escena...
Nire bezero bat pediatra baten klinikan erizaina da.,Uno de mis clientes es una enfermera en el consultorio de un pediatra.
Esaiozu erizain buruari geratzeko.,Dígale a la enfermera principal que se quede.
Pediatriako erizaina naiz.,Soy enfermera de niños.
"Lurretik ez mugitu, ni erizaintza gelatik etorri arte.",Todos mantengan los pies en el piso mientras lo llevo a la enfermería.
- Zoaz erizaintza gelara.,-Ve a la enfermería.
"Mutilak, elkarrizketa gustukoa dut baina erizain bat dago hor.","Chicos, encantado de charlar, pero hay una enfermera ahí."
Batzuetan barran egoten den eta noizbehinka korista den... erizaina.,Una enfermera que a ratos hace de corista... y a veces sirve en la barra.
Potter erizaindegira eramango dugu poxpolo kaxa batean sartuta.,Enviaremos a Potter a la enfermería en una cajita de fósforos.
"Bai, bai... emaztearentzako erizain pertsonala nahi nuke.","Sí... Sí... Sí, es correcto."
Erizainek bularra mailukatuko diote.,Los paramédicos le presionarán el pecho. ¡Lo maté!
Erizaintza ikasketak-edo egin nahi du.,"Quiere trabajar con niños, o algo así."
Erizaintza pediatrikoa ikasi duzu?,¿Estudió enfermería pediátrica? Sí.
"""Zerura"", esaten zieten erizainek.","""Al cielo"", decían las enfermeras."
Zu erizaina zara.,Ud. es enfermera.
"- Buruan gauza pare bat ditut, baina... ortodontzia, kontabilitatea, hotel baterako gerentea... edo erizaintza.","- Pienso en un par de cosas, pero... higiene dental o contabilidad, gerente de hotel  o quizá enfermería."
erizain bat irten eta esan zidan:,Eres mi vida.
"Aldizkarien azaletan bilioi dolar irabazi dituen jendea ipintzen dugu. Poliziei, suhiltzaileei, irakasleei, erizainei...","Y, al usar tanto la palabra hicieron que una nueva generación quisiera saber qué era."
zurekin nago Rocklanden Bronxeko sorginzaharrak diren erizain atsoen gorputzen lepotik hitz-jokoak egiten dituzun lekuan zurekin nago Rocklanden non aldarrikatzen duzun piano katatonikoa kolpatuz arima errugabea dela hilezkorra eta ez lukeela sekula hil behar armatutako zoroetxe batean santutasunik gabe zurekin nago Rocklanden,"Estoy contigo en Rockland Donde te burlas de los cuerpos de tus enfermeras, las arpías del Bronx. Estoy contigo en Rockland"
Erizaina.,Enfermera!
"Mesedez, kontatu Gretchen erizainari buruz.","Lo dijo alguien importante y olvidado, Gretchen Erfurt."
Gizon horrek erizain bat hil zuen ospitalean.,Ese tipo mato una enfermera en el hospital. - Que?
- Zer? - Erizaina hil zuela.,- Asesino a la enfermera!
Erizaina!,¡Enfermera!
"Ur apur bat gutxiago, mila esker erizaina.","Ese es un poco desprolijo, gracias enfermera."
"- Sartuarazi ezazu, erizaina.","- Hágala pasar, enfermera"
Erizaina zen.,Era una enfermera.
- Erizaina da.,- Ella es enfermera.
Erizaina behar dut.,Necesito a la enfermera.
Galdetu erizainari.,Pregúntale a la enfermera.
"Takigrafialariak, idazkariak, laborategi laguntzaileak... erizainak, kimikariak.","Taquígrafas, secretarias, asistentes de laboratorio enfermeras, químicas."
"Eskatu erizainarenak edozein dendatan, 2.95$.","Pide los de enfermera en cualquier tienda, $2.95."
Erizaina bezala.,Con una enfermera.
Erizainaren gelan.,En la sala de enfermería.
"Audrey, galdetu erizainari ea Victor ondo dagoen.","Audrey, pregúntale a la enfermera si Víctor está bien."
- Erizaina.,Enfermera.
Erizainak korrika pasatzen dira baina ez dira gelditzen.,El gobernador no está. No entiendo cómo las enfermeras pasan corriendo sin siquiera detenerse. Mira eso.
Erizaina naiz.,- Soy una enfermera.
Begiratu ea erizainak hor dauden.,Es buena.
"- Erizain, txorabiatu egin da.","- Enfermera, él se desmayó. - Oh, mierda."
"""Bi erizain kopetilunek, pobreziak eta gaixotasunak, ume hauek dakartzate zuregana haien jaiotzaren aurretik, ...sehaska miserableak kolpatzen dituzte, zerraldotxoak iltzatzen, lurra pilatzen dute haien hilarrien gainean.","""Las dos enfermeras ceñudas, la pobreza y la enfermedad traen a estos niños ante usted y preceden sus nacimientos golpean sus cunas miserables, clavan sus pequeños ataúdes amontonan la tierra sobre sus tumbas."
Uste dut erizainak barruko kamiseta lapurtu didala.,Creo que la enfermera se robó mi ropa interior.
"Erizaintza, bai?",Enfermería.
Erizaina?,- ¿Enfermera?
Zerbait duzu erizainen kontra?,- ¿Tienes algo contra las enfermeras?
Nire arreba erizaina da.,Mi hermana es enfermera.
Erizainak oso onak dira haiekin oheratzeko.,Las enfermeras son muy calientes en la cama.
Komentario bat zen. Erizain onak ezagutzen ditut.,Sólo digo que conozco a buenas enfermeras.
Erizainek edo norbaitek nirekin hitz egin nahi badu... telefono honetan nago.,Si las enfermeras o alguien quiere hablar conmigo solo estoy en este teléfono.
"Zera, erizainei deitzeko sakagailu bat edo.","No sé, un zumbador o algo para llamar a una enfermera."
-Baina erizainak esan dit:,- Pero la enfermera dijo:
"Gidari bat nahi dut, ez erizain bat.","Quiero un conductor, no una enfermera."
Ez ote zeundeke hobeto erizain batekin?,¿No sería mejor una enfermera?
Erizainek atsegin dituzte Arashiren marrazkiak.,A las enfermeras les gustan los dibujos de Arashi.
Erizainak musu bat emango dizu.,- Enséñame. ¡Seguro que la enfermera va a querer darte un beso!
Ez dut erizainik nahi.,"No. No, no. No quiero una enfermera."
"Txinatarrak, atzelariak, landareak, erizain ederrak...","Hay chinos, maricas, hierbas, enfermeras sexys."
"Zuretzat, Ratched erizaina","Quédese con eso, enfermera Ratched."
Erizaindegi on batekin.,"Nuestra propia casa, con un cuarto grande para el niño."
Arropa entsegua galdu dut... erizaindegian etzatera behartu nautelako.,Están haciendo que me pierda el ensayo general establecer en la enfermería.
Erizainak haur-aspirina bakarrik ematen dit.,La enfermera sólo me dé aspirina bebé.
Erizain bat ematen nuen bihotzekoa izan duen biktima bati laguntzen.,Parecía un paramédico reviviendo a la víctima de un choque.
"Erizain putak dio ""papi"" sexuan zehar.","La enfermera puta dice ""papi"" durante el sexo."
Eta zure eskailburuko erizaina?,¿Y la enfermera de tu rellano?
Deitu erizainari.,Llama a la enfermera.
Ez da erizaina.,No es una enfermera.
"Erizain bikaina da, ezta?","Ella es una buena pequeña enfermera, ¿no?"
Erizainak zunda kenduko dit.,Le diré a la enfermera que me retire el catéter.
Ez dugu erizainik behar.,No necesitamos enfermeras.
Ama erizaina zen.,MI MADRE ERA ENFERMERA.
Erizain-robota?,¿Una enfermera robótica?
Nicken aitaz arduratzen diren erizainekin mintzatu naiz.,Hablé con las enfermeras del padre de Nick.
20 erizain-ikasle hainbat modutan biluzik.,Estamos hablando quizá de 20 estudiantes de enfermería en diversos estados de desnudez.
Bi erizain biluzik dantzan ari dira.,Dos enfermeras que bailan en el desnudo.
Nire erizain zeregina da.,"Oh, Pooey. Es mi deber como enfermera."
"Tokian dagoen larrialdietako erizain batek dio... denetik artatzen ari direla: anputatutako gorputz-adarrak, erredura larriak...",Una enfermera de urgencias en la escena acaba de contarnos que la carpa médica... está tratando de todo desde miembros amputados hasta quemaduras severas.
Erizain bat zen.,Era un enfermero.
"- Bada erizain gaiztoarena, zerbitzari gaiztoarena, ikasle urdangarena eta ama lotsagabearena.","- Bueno, hay enfermera traviesa, criada traviesa, colegiala putona y ama de casa desvergonzada."
Duela urte batzuk. Isabellek metxeroa lapurtu zion erizain bati.,"Hace algunos años, Isabelle le robo un encendedor a una enfermera."
Erizaina zara.,"Ah, eres enfermera."
Santa Anna-ko erizain eskolan dago Duisburgen.,"! Sí, está estudiando en la escuela de enfermería de Santa Ana en Duisburgo."
Erizain eskola!,¡Escuela de enfermería!
"Eta erizainak esan zuen: ""hobe kamera itzaltzea"".","La enfermera dijo: ""Es posible que desee a su vez que la cámara de vídeo fuera."""
Erizain guztiak bidaliko ditugu.,Mandaremos a todos los sanitarios posibles.
Erizainek hornikuntzak bidaliko dituzte frontera 2 kaitik gauerdian.,Los sanitarios van a enviar suministros al frente desde el hangar 2 a medianoche.
- Erizainak datoz!,-¡Llegan los sanitarios!
Bere ama erizaina da.,Su mamá trabaja como enfermera.
"Gogoan dut behin ospitalean, kimioaren 3. zikloan, oso makal, ibiltzen amaierarik bako pasabide batean, eta erizaina nigana dator aulki gurpildun batekin.","Recuerdo un tiempo en el hospital, el tercer ciclo de quimioterapia, Muy débil, haciendo mi camino hacia abajo un pasillo interminable. Y una enfermera se me acerca con una silla de ruedas."
"Sainas, erizaina.","Sainas, paramédico."
Ni erizaina nintzen Nairobiko Aga Khan ospitalean.,Yo era una enfermera registrada en el hospital Aga Khan en Nairobi.
Erizainak--,La enfermera--
Bistan da erizaina zarela ...,Se nota que eres enfermera.
Gregek bikiak izan zituen erizain batekin.,Greg tuvo gemelos con una enfermera.
"Erizaina, utziko gaituzu?","Enfermera, ¿nos da un minuto?"
Erizain postuko telefonoa erabil dezakezu.,Puede usar el teléfono del puesto de las enfermeras.
Erizainak eta botikak?,¿Te quedaste en el hospital?
Orduan zergatik egiten duzu zuk eta ez erizainak?,Entonces ¿por qué la preparas tú y no la enfermería?
"Badakizu ez niola tiro egin erizainari erlijio sinesmenarengatik, denek hala uste badute ere?",¿Sabías que no le disparé a la enfermera por ninguna especie de principio religioso como todos piensan?
"Ospitaletik alde egitean, erizainak George eman zidan manta batean bilduta, eta esan zidan:","Cuando me iba del hospital, la enfermera me entregó a George envuelto en una manta y me dijo:"
"Agian txakurrentzat sedante bat lapurtu nuen, edo lau, eta niretzat dauzkat, inoiz gaixotasunen bat nahi izanez gero eta oporretara joan ospitalera erizainei titiak ukitzera.","Tal vez haya robado un sedante canino, o cuatro, y los haya guardado para mí, en caso de que quisiera fingir un ataque e ir de vacaciones al hospital a toquetear enfermeras."
Erizainak behar ditugu.,Necesitamos enfermeros.
