Basque (eu),Spanish (es)
Zer esan nahi duzu: idazkaria-edo behar duzula?,¿Quieres que sea tu secretaria o algo así?
Nire idazkaria hangoa da eta egunero hartzen du hango egunkaria.,Mi secretaria es de San Francisco y le llega el periódico de allá.
"Idazkaria George izatea nahi dute, bere aitaren postua.","Quieren a George como secretario ejecutivo, el lugar de su padre."
"Idazkaria izanda, nahi duzun edonor kontratatu dezakezu.","Como Secretario, puedes contratar a quien quieras."
Konfiantzazko idazkaria nintzela esan diot baina ez dut uste berari handiegia eman diodanik.,"A mí no me dirá nada, le dije que era tu secretaria de confianza, pero creo que a él no le inspiré demasiada."
Ez zuen nirekin hitz egin. Ez nengoen bulegoan eta nire idazkariari ez zion esan.,"No habló conmigo, no estaba en la oficina,"
Haren idazkariak deitu zidan.,Me llamó su secretaria.
Diktatu diezaioket zerbait zure idazkariari?,¿Puedo dictar un telegrama a su secretaria?
"Bere idazkaria, nonbait.","Su secretaria, al parecer..."
Nire idazkaria bazkaltzera joango zen.,Mi secretaria habrá ido a almorzar.
"-Vallières jauna, nire idazkaria.","- El Sr. Vallieres, mi secretario."
"Nire idazkaria. Eta hau Vicky Rosenthal da, zure gidaria.","Mi secretario y esta es Vicky Rosenthal, que será su guía."
Espetxeko nagusiak etxe berria du orain... eta ni bere idazkaria bilakatu naiz.,Basta decir que el alcaide tiene una nueva casa... y yo me he convertido en su secretario en jefe.
Idazkariak esan dit hemen zeundela.,Su secretario me dijo que estaba aquí.
Goizero esnatzen ditut nire gizonezko idazkariak.,"Cada mañana, despierto a mis secretarios."
Esan zure idazkariari...,Dele a su secretaria
Barne Idazkaria hemen daukagu eta horrek ondo informatuta eduki nahi izaten du jendea.,Está aquí el Secretario del Interior y le gusta que el público esté bien informado.
Esango diot nire idazkariari bidaltzeko paperak.,Mi secretaria preparará los documentos.
"-Hau nire idazkaria da, Susie.","Es mi secretaria, Susie."
Gizon xelebre hori idazkaria da.,El tipo excéntrico que ven es el secretario.
"Gauza horietarako, hitz egizu nire idazkariarekin. Ondo da. Gero arte ba.","Para estas cosas, diríjase a mi secretario."
Eta Jack Benny altxor-idazkaria.,Y Jack Benny es el ministro de Hacienda.
Epaitegiko idazkaria.,Asistente judicial.
Idazkariak pasatzeko esan dit.,Su secretaria dijo que podía entrar.
"Idazkaria, artxibategiko neska...","La secretaria, la del archivo..."
Gaur da artxibategiko idazkariaren eszena garrantzitsu hori.,Claro.
"Nire idazkaria gripeak jota dago, eta bere ordezkoak ez bide daki zer egin.",Mi secretaria cogió gripe y la temporal parece no saber lo que está haciendo.
Nire idazkariak kopia bat bidaliko dizu.,"Sí, està bien, haré que mi asistente le envíe una copia, entonces."
Deitu nire idazkariari datorren hilabete hasieran.,Llame a mi secretaria... a principios del mes próximo.
"Nire idazkariari deitu, bazkaltzeko hitzordu bat antolatu dezala.","Llama a mi secretaria, que nos arregle un almuerzo."
"Jende guztiari gustatzen zaio kontatzea, bere idazkariarekin sexu harremanak zituela.",A todos les encanta contar que se tiraba a su secretaria.
Burua atximurkatzen duzun ipurdian duen idazkaria naizela uste al duzu?,"¿Por una secretaria con cerebro en el trasero, a quien pellizca?"
"Hona Robert McNamara, Estatu Batuetako defentsa-idazkaria. Bere departamentuak hartzen du herri honetako irabazien %10 eta zergetako dolar bakoitzaren erdia baino gehiago.","Ahí está Ty Mitchell, que interpreta al hijo de Adrienne."
"24 orduz egunean, urteko 365 egunetan defentsa-idazkaria izan nintzen 7 urteetan gerra hotza bizi nuen.",En la siguiente secuencia cortamos al faro. Ahí está.
"Nik ez nuen ezagutzen. Esan zidan: ""Jack Kennedy, nire koinatuaren partetik altxor-idazkariaren postua eskaintzen dizut"".","Ésas son las escaleras de ""20.000 leguas de viaje submarino"""
Baina lehendakaria eta defentsa-idazkaria hor ari dira jo eta ke jendea engainatzen. Eta aski da behingoz!,Al volver a ver la película ahora se ve cuánto se estructuró en la sala de montaje.
"Robert McNamara, defentsa-idazkariak hara egin dituen 7 ikuskatze-bidaietan alderdi positibo bat aurkitzen dio gerraren bilakaerari.",Y ahora llama a la puerta.
"Idazkaria nintzenean, ""Agente Laranja"" erabili genuen Vietnamen.","Manda al pequeño Ty a su cuarto, ¿no?"
"24 orduz egunean, urteko 365 egunetan defentsa-idazkaria izan nintzen 7 urteetan gerra hotza bizi nuen.",Tengo que tener mucho cuidado. - ¿Puedo preguntarte algo? - Claro.
"Esan zidan: ""Jack Kennedy, nire koinatuaren partetik altxor-idazkariaren postua eskaintzen dizut"".","KAB, Antonio Bay."
"Hori ez da beharrezkoa. Führerra ez baita ari soldadu bila gaur, idazkaria aurkitu nahi du.",Eso no será necesario dado que el Führer no está buscando un soldado sino una secretaria.
Energia Idazkaria.,Soy el Secretario de Energía.
"Ni Estatu Idazkaria naiz, Carl's Jr.en laguntzaz.","Yo soy el Secretario de Estado, por cortesía de Carl's Jr."
-Defentsa Idazkaria da. -Bai.,- Él es el Secretario de Defensa.
Eta hori Hezkuntza Idazkaria da.,- Y ése es el Secretario de Educación.
Barne idazkaria zer den ere ez dakit.,Ni siquiera sé lo que es el Secretario del lnterior.
Ez Nago idazkaria.,Secretario No Es Seguro.
Nongo idazkaria?,¿Secretario? ¿Secretario de qué?
Barne idazkaria zenez Joek landare guztiak urez ureztatzea agindu zuen eta hitz eman zuen landareak hazi egingo zirela eta hauts-bola desagertu egingo zela.,Como Secretario del lnterior Joe ordenó que todos los cultivos fueran regados con agua prometiendo que con el tiempo los cultivos crecerían y el polvo desaparecería.
Ura komunetatik atera nahi izan zuen. Baina Ez Nago idazkaria bera dago orain komunean.,CANAL DE noticias FOX intentó usar el agua de los retretes pero es el secretario No Es Seguro el que se encuentra en el retrete ahora mismo.
Hala bedi. Idazkaria.,que asi sea la voluntad de Dios registrador.
"Alphonso Jackson ""HUD""eko idazkaria...",Conrad del comité financiero.
"Warren Christopher, AEBko Estatu Idazkariak hau esan zuen:","Warren Christopher, Secretario de Estado de EE.UU.dijo:"
Rumsfeld defentsa-idazkaria izana zen Gerald Forden gobernuan.,"Rumsfeld fue Secretario de Defensa antes, con Gerald Ford."
Duela bi hilabete galdetu nion zure defentsa-idazkariari zer-nolako legeen arabera egiten diren ekintza horiek...,Lepreguntéal SecretariodeDefensa Hace unos meses ... bajoqueleyesserigen estas acciones.
"Nob Hill auzoan pisua neukan, korbata eta trajea, idazkariak eta guzti neuzkan lanpostu bat... bizitza gozatzen hasi nintzen, gozamena jakin nuelako... ez nengoela harrezkero formula sozialen intimidazioaren pean, gai nintzen aurrera egiteko, negozioen mundu lehor hartan ere.","Tenía un apartamento en Nob Hill, la corbata y el traje, un trabajo con muchas secretarias que era... el inicio de darme placer, el placer de saber que lo podía hacer... ya no estaba intimidado por las formas sociales, para poder hacerlo en mundo seco de los negocios."
"Takigrafialariak, idazkariak, laborategi laguntzaileak... erizainak, kimikariak.","Taquígrafas, secretarias, asistentes de laboratorio enfermeras, químicas."
Idazkariari deitu diogu.,- Un agente está en contacto con su secretaria.
"Batearekin bi mikrometro goregi joten dio, eta 'fly' bat irteten zaio ondorioz Cleon Jones-i, zein Clara izango zen, idazkaria, bere gurasoek ardorik edan ez balute gau hartan.","Le pega a su bate dos micrómetros demasiado arriba causando que salga un fly a Cleon Jones quien hubiera sido Clara una mecanógrafa, si sus papás no hubieran tomado vino esa noche."
"Bai, eremu hori lortu daiteke,   baina Jytte, nire idazkaria behar dugu.","Si, puede conseguirse esa extensión,   pero necesitamos a mi secretaria Jytte."
Idazkaria eta Gobernadorea.,El Secretario del Partido y el Alcalde.
"Esan nahi dut, Raylene, zure idazkaria, gure entrenatzailea.","Con Raylene, nuestra sec-- Tu secretaria, tu entrenadora."
Ba idazkariak esan dit...,Mi secretaria me lo dijo...
Badakit denbora asko igaro dela. Baina zu bere idazkaria izan zinen.,Pero tú fuiste su secretaria.
Nire idazkariak xehetasun guztiak ditu.,Mi secretaria tiene todos los detalles.
Esan iezaiozu zure idazkariari dena ondo dagoela.,Dígale a su secretaria que todo está bien.
"Ez naiz zure idazkaria, Rinku.","Yo no soy tu secretaria, Rinku."
"Mila esker zure asmamenagatik, Pierce idazkaria.","Gracias por su ingenio, secretario Pierce."
"""Laird Defentsa idazkariaren ondoan agertuko da... eta Bolivar Trask zientzilariaren laguntza izango du, mutanteen aurkako borrokan aholkulari berezia.""",Lo acompañará el Secretario de Defensa Laird e incluso solicitó la ayuda del renombrado científico Bolivar Trask su asesor especial en el combate al problema mutante.
Idazkariak grabagailuak itzali ditzake.,"Señora Secretaria, usted puede apagar sus dispositivos de grabación."
Idazkariak goiko solairura.,"Las secretarias, en el piso superior."
"Estatuko Idazkaria naiz astelehenetik bakarrik. Baina badakit estralurtarrekin dugun gudari buruzkoak, hauek... Hauek direla bilera dibertigarri bakarrak.","Solo he sido jefe de su Estado Mayor desde el lunes, pero sé que las reuniones sobre extraterrestres son las únicas divertidas."
Idazkaria?,- ¡Con acento!
"-Bai, idazkaria.","Sí, la secretaria."
"Teniente, Stimson idazkariarekin hitz egiteko baimena eskatzen dut.",Déjeme hablar con el secretario Stimson...
Woroniecki idazkariak esan du egun bat lehenago helduko dela.,Cable del secretario Woroniecki. Llegar谩 un d铆a antes.
"Idazkaria izaten saiatzen ari naiz, zuek esan bezala, sarjentua.","Todavía estoy tratando de escribir como una muchacha, como usted ha dicho, sargento."
Zure idazkariak deitu eta ordubete lehenago etortzeko esan zidan.,Su secretaria llamó para pedirme que llegara una hora antes.
-Epaitegi idazkaria.,- Maestro de abogacía.
Epaitegi-idazkaria naiz.,Maestro de abogacía.
Idazkaria naiz.,Soy un mecanógrafo.
Sook-yin Park-en bulegotik deitzen dut. Koreako Herri Errepublikako... Komunikazio idazkaria da.,Hablo en nombre de Sook-yin Park secretar¡a de comunicaciones de Corea del Norte.
"Hau Gwen da, eta hau Cliff, klubeko idazkaria","Esta es Gwen, y este es Cliff, nuestro secretario del club."
Eta Segurtasun Nazionaleko idazkaria ere bai.,También el secretario de Seguridad Nacional.
